state,year,ndeath,nod,pod
KY,2015,550060,14286,0.025971712176853436
KY,2016,559117,16155,0.02889377357511934
KY,2017,576429,18737,0.03250530420919142
KY,2018,579484,16868,0.029108655286427237
KY,2019,580391,15953,0.02748664262540253
KY,2020,611029,20842,0.03410967400892593
KY,2021,707953,27859,0.039351482372417375
KY,2022,720963,27805,0.038566472898054406
KY,2023,652181,27216,0.04173074652588775
LA,2015,530372,9800,0.018477596856545972
LA,2016,526179,11393,0.02165232743990163
LA,2017,540067,12344,0.02285642336969302
LA,2018,559538,14199,0.02537629258423914
LA,2019,549248,14106,0.025682387555348404
LA,2020,617498,19651,0.03182358485371613
LA,2021,694922,27635,0.03976705299299778
LA,2022,663454,30078,0.045335471637822665
LA,2023,601792,27793,0.04618373125598213
MA,2015,701311,17638,0.025150040424291076
MA,2016,686740,23951,0.03487637242624574
MA,2017,711010,25670,0.036103570976498224
MA,2018,718663,26808,0.03730260219323939
MA,2019,715234,26280,0.036743219701524256
MA,2020,786423,27305,0.0347205002905561
MA,2021,782519,29107,0.0371965409146615
MA,2022,773820,31207,0.04032850016799772
MA,2023,749506,30575,0.04079353600905129
MD,2015,566202,14101,0.024904539369341682
MD,2016,568857,20291,0.03566977289547285
MD,2017,593893,27014,0.04548630813968173
MD,2018,599857,28816,0.04803811575092064
MD,2019,603342,28002,0.046411488011774416
MD,2020,657931,30267,0.0460033042978671
MD,2021,712355,33825,0.04748334748826077
MD,2022,681083,30731,0.045120785572389854
MD,2023,637386,30149,0.04730100755272315
ME,2015,168991,2940,0.01739737619163151
ME,2016,167830,3796,0.022618125484120837
ME,2017,172501,4494,0.026052022886823845
ME,2018,174273,4705,0.026997871156174507
ME,2019,177363,3991,0.022501874686377654
ME,2020,181156,5295,0.02922895184261079
ME,2021,193766,6611,0.034118472797085145
ME,2022,210928,7856,0.037244936660851095
ME,2023,202036,8029,0.039740442297412346
MI,2015,1134047,23417,0.020649055991506526
MI,2016,1123841,24245,0.02157333644172085
MI,2017,1152357,31175,0.027053248255531924
MI,2018,1167485,31993,0.02740334993597348
MI,2019,1159434,28803,0.024842293739876526
MI,2020,1274048,31110,0.024418232280102477
MI,2021,1377506,35229,0.02557448025634734
MI,2022,1386965,36092,0.026022286070665087
MI,2023,1251580,35755,0.02856789018680388
MN,2015,512376,6669,0.013015832123284462
MN,2016,512281,7668,0.014968347449934704
MN,2017,525368,8288,0.01577560871617609
MN,2018,535714,8140,0.015194674770493211
MN,2019,538459,8585,0.01594364659147679
MN,2020,575471,11109,0.01930418735262072
MN,2021,620969,14699,0.023671068926146073
MN,2022,631864,16342,0.025863160426927313
MN,2023,597128,16691,0.0279521308664139
MO,2015,744471,13090,0.01758295487668425
MO,2016,735070,14478,0.01969608336621002
MO,2017,763154,16847,0.022075491971476267
MO,2018,784465,18111,0.023087072080972382
MO,2019,772352,19399,0.025116786128604573
MO,2020,821033,21847,0.026609161872908883
MO,2021,939373,24703,0.026297328111410483
MO,2022,918495,26203,0.028528190137126496
MO,2023,845490,25940,0.030680433831269442
MS,2015,367785,3907,0.010623054230052885
MS,2016,369589,3933,0.010641550479045643
MS,2017,372827,3911,0.010490120082504753
MS,2018,384147,3767,0.009806141919629726
MS,2019,379916,3816,0.010044325587761506
MS,2020,417545,5501,0.013174627884419643
MS,2021,493607,8101,0.016411841809374664
MS,2022,465789,8443,0.01812623312272295
MS,2023,414919,7802,0.01880367011392585
MT,2015,116009,1527,0.013162771853907887
MT,2016,118846,1477,0.012427847803039228
MT,2017,122927,1465,0.011917642177877927
MT,2018,119870,1290,0.01076165846333528
MT,2019,123837,1566,0.012645655175755227
MT,2020,128925,1766,0.013697886368043435
MT,2021,149406,2127,0.014236376049154653
MT,2022,153187,2323,0.01516447218105975
MT,2023,136658,2183,0.01597418372872426
NC,2015,1069879,17006,0.015895255444774596
NC,2016,1082087,21361,0.01974055690531353
NC,2017,1115542,26214,0.023498891121983754
NC,2018,1136380,27332,0.024051813653883383
NC,2019,1145830,27258,0.02378886920398314
NC,2020,1218301,32319,0.02652792700654436
NC,2021,1406234,42410,0.03015856535967698
NC,2022,1409048,48906,0.03470854080201668
NC,2023,1311351,45179,0.034452255727108916
ND,2015,83522,799,0.00956634180215991
ND,2016,80487,828,0.010287375601028737
ND,2017,83842,950,0.01133083657355502
ND,2018,84817,879,0.010363488451607578
ND,2019,86122,951,0.011042474629014653
ND,2020,93500,1321,0.014128342245989306
ND,2021,103345,1540,0.014901543374135177
ND,2022,98212,1662,0.016922575652669736
ND,2023,90932,1696,0.018651299872432147
NE,2015,201792,1547,0.007666309863621947
NE,2016,196435,1425,0.0072543080408277545
NE,2017,203750,1512,0.007420858895705522
NE,2018,205367,1861,0.009061825901921925
NE,2019,204979,1747,0.008522824289317442
NE,2020,213911,2147,0.010036884498693381
NE,2021,236556,2603,0.011003736958690542
NE,2022,233149,2592,0.011117354138340719
NE,2023,222601,2382,0.010700760553636326
NH,2015,139941,4896,0.034986172744227925
NH,2016,139496,5256,0.037678499741928086
NH,2017,145970,5524,0.03784339247790642
NH,2018,148794,5514,0.03705794588491471
NH,2019,149154,5015,0.03362296686646017
NH,2020,154505,4879,0.03157826607553153
NH,2021,163861,4710,0.0287438743813354
NH,2022,172119,5806,0.033732475787100785
NH,2023,168735,5509,0.03264882804397428
NJ,2015,857584,15849,0.018480988451277075
NJ,2016,846797,20055,0.02368336212811335
NJ,2017,883650,28586,0.03234991229559215
NJ,2018,892823,32488,0.03638795147526441
NJ,2019,889567,33118,0.03722934866064052
NJ,2020,1053349,34886,0.03311912765854432
NJ,2021,1055925,34899,0.03305064280133532
NJ,2022,990151,35811,0.036167210859757756
NJ,2023,917038,33163,0.03616316881088897
NM,2015,204766,6291,0.030722873914614732
NM,2016,209960,5881,0.02801009716136407
NM,2017,214756,6036,0.028106316005140717
NM,2018,219256,5995,0.027342467252891595
NM,2019,223615,6716,0.030033763387965925
NM,2020,242589,8388,0.03457700060596317
NM,2021,291942,11371,0.03894951736988854
NM,2022,293998,12314,0.041884638671011366
NM,2023,260476,11919,0.04575853437552788
NV,2015,277736,7342,0.02643517585044791
NV,2016,291104,8457,0.029051473013081235
NV,2017,303210,8748,0.028851291184327693
NV,2018,309039,8849,0.028633926462355883
NV,2019,310841,8917,0.02868669191001187
NV,2020,336611,9411,0.027958088119520753
NV,2021,403005,12106,0.03003932953685438
NV,2022,403028,12642,0.03136754766418214
NV,2023,364989,15425,0.042261547608284086
NY,2015,1181726,19990,0.016915934827531932
NY,2016,1169431,24820,0.021223996969466346
NY,2017,1193600,28892,0.024205764075067023
NY,2018,1209182,27236,0.02252431809272715
NY,2019,1200924,25479,0.02121616355406337
NY,2020,1337095,30517,0.022823359596737702
NY,2021,1407056,36567,0.025988304658805337
NY,2022,1367826,38852,0.028404197609929918
NY,2023,1294515,41194,0.031821956485633615
OH,2015,1416465,36893,0.026045825346902324
OH,2016,1415504,45503,0.03214614723801558
OH,2017,1468788,60794,0.04139058870306675
OH,2018,1496133,51571,0.034469529112719256
OH,2019,1479820,49592,0.03351218391425984
OH,2020,1559384,57382,0.03679786377184837
OH,2021,1774923,65003,0.03662299716663765
OH,2022,1763142,62154,0.0352518401807682
OH,2023,1570054,61177,0.03896490184414039
OK,2015,457525,8944,0.019548658543249
OK,2016,455459,8913,0.01956926968179353
OK,2017,466564,9867,0.021148224037859757
OK,2018,479700,8624,0.017977902855951636
OK,2019,473206,7467,0.01577959704652942
OK,2020,498585,8300,0.016647111325049892
OK,2021,593841,9952,0.016758694667427812
OK,2022,585482,13101,0.022376435142327178
OK,2023,525049,14884,0.028347830392972846
OR,2015,422629,6129,0.014502081021415947
OR,2016,426884,6002,0.014060025674422091
OR,2017,441385,6199,0.014044428333541014
OR,2018,434812,6643,0.015277867216176187
OR,2019,440492,6926,0.015723327551919217
OR,2020,460202,8465,0.01839409650544761
OR,2021,511491,12167,0.02378731981598894
OR,2022,547269,14948,0.027313807286727367
OR,2023,522273,19668,0.0376584659746914
PA,2015,1605327,36077,0.02247330294700083
PA,2016,1586270,45980,0.0289862381561777
PA,2017,1641025,64683,0.03941621852196036
PA,2018,1640423,57391,0.034985488499003
PA,2019,1616471,52089,0.03222390008852618
PA,2020,1721397,58887,0.03420884316633525
PA,2021,1902534,64566,0.03393684422985345
PA,2022,1853273,62965,0.03397502688486802
PA,2023,1692162,61021,0.03606096815789505
RI,2015,123866,3517,0.028393586617796653
RI,2016,120927,3978,0.032895879332159074
RI,2017,123470,3986,0.03228314570340973
RI,2018,124953,3906,0.03125975366737893
RI,2019,126369,4052,0.03206482602537015
RI,2020,135515,4311,0.03181197653396303
RI,2021,143979,5031,0.03494259579522014
RI,2022,137042,5546,0.04046934516425622
RI,2023,130648,5202,0.03981691262017023
SC,2015,551089,8692,0.015772406997780757
SC,2016,558101,9569,0.01714564209703978
SC,2017,572389,11678,0.020402208987244687
SC,2018,592440,12542,0.02117007629464587
SC,2019,593922,13150,0.022140954536117537
SC,2020,651475,17551,0.026940404466786905
SC,2021,766852,23547,0.0307060554057367
SC,2022,749020,26813,0.03579744199086807
SC,2023,692256,27355,0.039515728285489764
SD,2015,93947,727,0.0077384056968290635
SD,2016,94162,809,0.008591576219706463
SD,2017,97901,891,0.009101030632986385
SD,2018,96887,732,0.007555193163169466
SD,2019,99007,882,0.008908461017907824
SD,2020,105304,1018,0.00966724910734635
SD,2021,121547,1015,0.00835067916114754
SD,2022,114298,1131,0.009895186267476246
SD,2023,105339,1026,0.009739982342722069
